logical_name,kind,chapter,problem,subpart,source_pdf,source_pages_1based,used_crop_boxes_px,partition_windows_px,deskew_angles_deg,output_width_px,output_height_px
pb_2-2_(3)_question.png,question,2,2,3,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":2,""x0"":0,""y0"":2376,""x1"":2005,""y1"":2475}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":2,""x0"":0,""y0"":2370,""x1"":2005,""y1"":2480}]","{""2"":0.07698}",2005,169
pb_2-2_(3)_solution.png,solution,2,2,3,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":875,""x1"":2005,""y1"":1030}]","[{""page"":3,""x0"":0,""y0"":875,""x1"":2005,""y1"":1030}]","{""3"":0.01597}",2005,155
pb_2-2_(4)_question.png,question,2,2,4,ch2.pdf,2;3,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":3,""x0"":0,""y0"":196,""x1"":2005,""y1"":301}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":3,""x0"":0,""y0"":190,""x1"":2005,""y1"":320}]","{""2"":0.07698,""3"":0.01597}",2005,175
pb_2-2_(4)_solution.png,solution,2,2,4,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1032,""x1"":2005,""y1"":1210}]","[{""page"":3,""x0"":0,""y0"":1030,""x1"":2005,""y1"":1210}]","{""3"":0.01597}",2005,178
pb_2-2_(5)_question.png,question,2,2,5,ch2.pdf,2;3,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":3,""x0"":0,""y0"":320,""x1"":2005,""y1"":417}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":3,""x0"":0,""y0"":320,""x1"":2005,""y1"":430}]","{""2"":0.07698,""3"":0.01597}",2005,167
pb_2-2_(5)_solution.png,solution,2,2,5,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1212,""x1"":2005,""y1"":1325}]","[{""page"":3,""x0"":0,""y0"":1210,""x1"":2005,""y1"":1330}]","{""3"":0.01597}",2005,113
pb_2-2_(6)_question.png,question,2,2,6,ch2.pdf,2;3,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":3,""x0"":0,""y0"":430,""x1"":2005,""y1"":530}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":3,""x0"":0,""y0"":430,""x1"":2005,""y1"":540}]","{""2"":0.07698,""3"":0.01597}",2005,170
pb_2-2_(6)_solution.png,solution,2,2,6,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1330,""x1"":2005,""y1"":1557}]","[{""page"":3,""x0"":0,""y0"":1330,""x1"":2005,""y1"":1570}]","{""3"":0.01597}",2005,227
pb_2-2_(7)_question.png,question,2,2,7,ch2.pdf,2;3,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":3,""x0"":0,""y0"":540,""x1"":2005,""y1"":644}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":3,""x0"":0,""y0"":540,""x1"":2005,""y1"":650}]","{""2"":0.07698,""3"":0.01597}",2005,174
pb_2-2_(7)_solution.png,solution,2,2,7,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1556,""x1"":2005,""y1"":1720}]","[{""page"":3,""x0"":0,""y0"":1548,""x1"":2005,""y1"":1720}]","{""3"":0.01597}",2005,164
pb_2-3_(1)_question.png,question,2,3,1,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1717,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":1784,""x1"":2005,""y1"":1895}]","[{""page"":3,""x0"":0,""y0"":1715,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":1784,""x1"":2005,""y1"":1898}]","{""3"":0.01597}",2005,178
pb_2-3_(1)_solution.png,solution,2,3,1,ch2.pdf,3;4,"[{""page"":3,""x0"":0,""y0"":2121,""x1"":2005,""y1"":2473},{""page"":4,""x0"":0,""y0"":193,""x1"":2005,""y1"":645}]","[{""page"":3,""x0"":0,""y0"":2120,""x1"":2005,""y1"":2490},{""page"":4,""x0"":0,""y0"":190,""x1"":2005,""y1"":645}]","{""3"":0.01597,""4"":0.08397}",2005,804
pb_2-3_(2)_question.png,question,2,3,2,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1717,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":1898,""x1"":2005,""y1"":2006}]","[{""page"":3,""x0"":0,""y0"":1715,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":1898,""x1"":2005,""y1"":2008}]","{""3"":0.01597}",2005,175
pb_2-3_(2)_solution.png,solution,2,3,2,ch2.pdf,4,"[{""page"":4,""x0"":0,""y0"":646,""x1"":2005,""y1"":1312}]","[{""page"":4,""x0"":0,""y0"":645,""x1"":2005,""y1"":1312}]","{""4"":0.08397}",2005,666
pb_2-3_(3)_question.png,question,2,3,3,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":1717,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":2009,""x1"":2005,""y1"":2120}]","[{""page"":3,""x0"":0,""y0"":1715,""x1"":2005,""y1"":1784},{""page"":3,""x0"":0,""y0"":2008,""x1"":2005,""y1"":2120}]","{""3"":0.01597}",2005,178
pb_2-3_(3)_solution.png,solution,2,3,3,ch2.pdf,4,"[{""page"":4,""x0"":0,""y0"":1313,""x1"":1330,""y1"":2070},{""page"":4,""x0"":0,""y0"":2070,""x1"":1100,""y1"":2240}]","[{""page"":4,""x0"":0,""y0"":1312,""x1"":1330,""y1"":2070},{""page"":4,""x0"":0,""y0"":2070,""x1"":1100,""y1"":2240}]","{""4"":0.08397}",2005,927
pb_2-4_question.png,question,2,4,,ch2.pdf,4,"[{""page"":4,""x0"":0,""y0"":2241,""x1"":1200,""y1"":2310},{""page"":4,""x0"":1250,""y0"":2166,""x1"":1940,""y1"":2469}]","[{""page"":4,""x0"":0,""y0"":2235,""x1"":1200,""y1"":2310},{""page"":4,""x0"":1250,""y0"":2150,""x1"":1940,""y1"":2520}]","{""4"":0.08397}",2005,372
pb_2-4_solution.png,solution,2,4,,ch2.pdf,4;5,"[{""page"":4,""x0"":0,""y0"":2310,""x1"":1250,""y1"":2437},{""page"":5,""x0"":0,""y0"":190,""x1"":2005,""y1"":360}]","[{""page"":4,""x0"":0,""y0"":2310,""x1"":1250,""y1"":2470},{""page"":5,""x0"":0,""y0"":190,""x1"":2005,""y1"":360}]","{""4"":0.08397,""5"":0.11745}",2005,297
pb_2-5_question.png,question,2,5,,ch2.pdf,5,"[{""page"":5,""x0"":0,""y0"":371,""x1"":2005,""y1"":550}]","[{""page"":5,""x0"":0,""y0"":370,""x1"":2005,""y1"":550}]","{""5"":0.11745}",2005,179
pb_2-5_solution.png,solution,2,5,,ch2.pdf,5,"[{""page"":5,""x0"":0,""y0"":554,""x1"":2005,""y1"":1740}]","[{""page"":5,""x0"":0,""y0"":550,""x1"":2005,""y1"":1740}]","{""5"":0.11745}",2005,1186
pb_2-6_(1)_question.png,question,2,6,1,ch2.pdf,5;6,"[{""page"":5,""x0"":0,""y0"":1742,""x1"":2005,""y1"":1812},{""page"":6,""x0"":70,""y0"":211,""x1"":930,""y1"":577}]","[{""page"":5,""x0"":0,""y0"":1740,""x1"":2005,""y1"":1812},{""page"":6,""x0"":70,""y0"":210,""x1"":930,""y1"":590}]","{""5"":0.11745,""6"":-0.01629}",2005,436
pb_2-6_(1)_solution.png,solution,2,6,1,ch2.pdf,5;6,"[{""page"":5,""x0"":0,""y0"":1812,""x1"":2005,""y1"":1940},{""page"":6,""x0"":400,""y0"":1193,""x1"":1500,""y1"":2255},{""page"":5,""x0"":0,""y0"":1941,""x1"":2005,""y1"":2275}]","[{""page"":5,""x0"":0,""y0"":1812,""x1"":2005,""y1"":1940},{""page"":6,""x0"":400,""y0"":1150,""x1"":1500,""y1"":2270},{""page"":5,""x0"":0,""y0"":1940,""x1"":2005,""y1"":2275}]","{""5"":0.11745,""6"":-0.01629}",2005,1524
pb_2-6_(2)_question.png,question,2,6,2,ch2.pdf,5;6,"[{""page"":5,""x0"":0,""y0"":1742,""x1"":2005,""y1"":1812},{""page"":6,""x0"":920,""y0"":231,""x1"":1930,""y1"":577}]","[{""page"":5,""x0"":0,""y0"":1740,""x1"":2005,""y1"":1812},{""page"":6,""x0"":920,""y0"":210,""x1"":1930,""y1"":590}]","{""5"":0.11745,""6"":-0.01629}",2005,416
pb_2-6_(2)_solution.png,solution,2,6,2,ch2.pdf,5;7,"[{""page"":5,""x0"":0,""y0"":2275,""x1"":2005,""y1"":2407},{""page"":7,""x0"":350,""y0"":201,""x1"":1550,""y1"":1864},{""page"":7,""x0"":0,""y0"":1911,""x1"":2005,""y1"":2245}]","[{""page"":5,""x0"":0,""y0"":2275,""x1"":2005,""y1"":2410},{""page"":7,""x0"":350,""y0"":190,""x1"":1550,""y1"":1870},{""page"":7,""x0"":0,""y0"":1890,""x1"":2005,""y1"":2245}]","{""5"":0.11745,""7"":-0.00678}",2005,2129
pb_2-6_(3)_question.png,question,2,6,3,ch2.pdf,5;6,"[{""page"":5,""x0"":0,""y0"":1742,""x1"":2005,""y1"":1812},{""page"":6,""x0"":70,""y0"":590,""x1"":930,""y1"":992}]","[{""page"":5,""x0"":0,""y0"":1740,""x1"":2005,""y1"":1812},{""page"":6,""x0"":70,""y0"":590,""x1"":930,""y1"":1010}]","{""5"":0.11745,""6"":-0.01629}",2005,472
pb_2-6_(3)_solution.png,solution,2,6,3,ch2.pdf,7;8,"[{""page"":7,""x0"":0,""y0"":2245,""x1"":2005,""y1"":2377},{""page"":8,""x0"":350,""y0"":204,""x1"":1450,""y1"":1540},{""page"":8,""x0"":0,""y0"":1596,""x1"":2005,""y1"":1930}]","[{""page"":7,""x0"":0,""y0"":2245,""x1"":2005,""y1"":2380},{""page"":8,""x0"":350,""y0"":190,""x1"":1450,""y1"":1540},{""page"":8,""x0"":0,""y0"":1590,""x1"":2005,""y1"":1930}]","{""7"":-0.00678,""8"":0.06012}",2005,1802
pb_2-6_(4)_question.png,question,2,6,4,ch2.pdf,5;6,"[{""page"":5,""x0"":0,""y0"":1742,""x1"":2005,""y1"":1812},{""page"":6,""x0"":930,""y0"":603,""x1"":1930,""y1"":991}]","[{""page"":5,""x0"":0,""y0"":1740,""x1"":2005,""y1"":1812},{""page"":6,""x0"":930,""y0"":590,""x1"":1930,""y1"":1010}]","{""5"":0.11745,""6"":-0.01629}",2005,458
pb_2-6_(4)_solution.png,solution,2,6,4,ch2.pdf,8;9,"[{""page"":8,""x0"":0,""y0"":1930,""x1"":2005,""y1"":2060},{""page"":9,""x0"":50,""y0"":330,""x1"":820,""y1"":974},{""page"":8,""x0"":0,""y0"":2066,""x1"":2005,""y1"":2400}]","[{""page"":8,""x0"":0,""y0"":1930,""x1"":2005,""y1"":2060},{""page"":9,""x0"":50,""y0"":320,""x1"":820,""y1"":980},{""page"":8,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2400}]","{""8"":0.06012,""9"":-0.09072}",2005,1108
pb_2-7_(1)_question.png,question,2,7,1,ch2.pdf,8;9,"[{""page"":8,""x0"":0,""y0"":2401,""x1"":2005,""y1"":2468},{""page"":9,""x0"":0,""y0"":177,""x1"":2005,""y1"":242},{""page"":9,""x0"":820,""y0"":580,""x1"":1940,""y1"":974}]","[{""page"":8,""x0"":0,""y0"":2400,""x1"":2005,""y1"":2470},{""page"":9,""x0"":0,""y0"":175,""x1"":2005,""y1"":242},{""page"":9,""x0"":820,""y0"":320,""x1"":1940,""y1"":980}]","{""8"":0.06012,""9"":-0.09072}",2005,526
pb_2-7_(1)_solution.png,solution,2,7,1,ch2.pdf,9;10,"[{""page"":9,""x0"":0,""y0"":1018,""x1"":2005,""y1"":2189},{""page"":9,""x0"":0,""y0"":2190,""x1"":2005,""y1"":2406},{""page"":10,""x0"":0,""y0"":180,""x1"":2005,""y1"":295}]","[{""page"":9,""x0"":0,""y0"":1015,""x1"":2005,""y1"":2190},{""page"":9,""x0"":0,""y0"":2190,""x1"":2005,""y1"":2410},{""page"":10,""x0"":0,""y0"":180,""x1"":2005,""y1"":295}]","{""9"":-0.09072,""10"":-0.13162}",2005,1502
pb_2-7_(2)_question.png,question,2,7,2,ch2.pdf,8;9,"[{""page"":8,""x0"":0,""y0"":2401,""x1"":2005,""y1"":2468},{""page"":9,""x0"":0,""y0"":242,""x1"":2005,""y1"":310},{""page"":9,""x0"":820,""y0"":580,""x1"":1940,""y1"":974}]","[{""page"":8,""x0"":0,""y0"":2400,""x1"":2005,""y1"":2470},{""page"":9,""x0"":0,""y0"":242,""x1"":2005,""y1"":310},{""page"":9,""x0"":820,""y0"":320,""x1"":1940,""y1"":980}]","{""8"":0.06012,""9"":-0.09072}",2005,529
pb_2-7_(2)_solution.png,solution,2,7,2,ch2.pdf,9;10,"[{""page"":9,""x0"":0,""y0"":1018,""x1"":2005,""y1"":2189},{""page"":10,""x0"":0,""y0"":296,""x1"":2005,""y1"":579}]","[{""page"":9,""x0"":0,""y0"":1015,""x1"":2005,""y1"":2190},{""page"":10,""x0"":0,""y0"":295,""x1"":2005,""y1"":580}]","{""9"":-0.09072,""10"":-0.13162}",2005,1454
pb_2-8_question.png,question,2,8,,ch2.pdf,10,"[{""page"":10,""x0"":0,""y0"":580,""x1"":2005,""y1"":695},{""page"":10,""x0"":60,""y0"":779,""x1"":930,""y1"":1270}]","[{""page"":10,""x0"":0,""y0"":580,""x1"":2005,""y1"":700},{""page"":10,""x0"":60,""y0"":770,""x1"":930,""y1"":1270}]","{""10"":-0.13162}",2005,606
pb_2-8_solution.png,solution,2,8,,ch2.pdf,10,"[{""page"":10,""x0"":0,""y0"":700,""x1"":2005,""y1"":760},{""page"":10,""x0"":930,""y0"":919,""x1"":1930,""y1"":1270},{""page"":10,""x0"":0,""y0"":1315,""x1"":2005,""y1"":1849}]","[{""page"":10,""x0"":0,""y0"":700,""x1"":2005,""y1"":760},{""page"":10,""x0"":930,""y0"":900,""x1"":1930,""y1"":1270},{""page"":10,""x0"":0,""y0"":1300,""x1"":2005,""y1"":1850}]","{""10"":-0.13162}",2005,945
pb_2-9_(a)_question.png,question,2,9,a,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":220,""y0"":221,""x1"":520,""y1"":700}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":220,""y0"":210,""x1"":520,""y1"":700}]","{""10"":-0.13162,""11"":0.03558}",2005,546
pb_2-9_(a)_solution.png,solution,2,9,a,ch2.pdf,10,"[{""page"":10,""x0"":0,""y0"":1910,""x1"":2005,""y1"":2470}]","[{""page"":10,""x0"":0,""y0"":1910,""x1"":2005,""y1"":2470}]","{""10"":-0.13162}",2005,560
pb_2-9_(b)_question.png,question,2,9,b,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":540,""y0"":221,""x1"":900,""y1"":700}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":540,""y0"":210,""x1"":900,""y1"":700}]","{""10"":-0.13162,""11"":0.03558}",2005,546
pb_2-9_(b)_solution.png,solution,2,9,b,ch2.pdf,11,"[{""page"":11,""x0"":0,""y0"":1338,""x1"":2005,""y1"":1705}]","[{""page"":11,""x0"":0,""y0"":1335,""x1"":2005,""y1"":1705}]","{""11"":0.03558}",2005,367
pb_2-9_(c)_question.png,question,2,9,c,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":900,""y0"":221,""x1"":1320,""y1"":700}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":900,""y0"":210,""x1"":1320,""y1"":700}]","{""10"":-0.13162,""11"":0.03558}",2005,546
pb_2-9_(c)_solution.png,solution,2,9,c,ch2.pdf,11,"[{""page"":11,""x0"":0,""y0"":1705,""x1"":2005,""y1"":2018}]","[{""page"":11,""x0"":0,""y0"":1705,""x1"":2005,""y1"":2018}]","{""11"":0.03558}",2005,313
pb_2-9_(d)_question.png,question,2,9,d,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":1300,""y0"":221,""x1"":1820,""y1"":700}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":1300,""y0"":210,""x1"":1820,""y1"":700}]","{""10"":-0.13162,""11"":0.03558}",2005,546
pb_2-9_(d)_solution.png,solution,2,9,d,ch2.pdf,11,"[{""page"":11,""x0"":0,""y0"":2018,""x1"":2005,""y1"":2335}]","[{""page"":11,""x0"":0,""y0"":2018,""x1"":2005,""y1"":2335}]","{""11"":0.03558}",2005,317
pb_2-9_(e)_question.png,question,2,9,e,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":190,""y0"":829,""x1"":620,""y1"":1223}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":190,""y0"":690,""x1"":620,""y1"":1225}]","{""10"":-0.13162,""11"":0.03558}",2005,461
pb_2-9_(e)_solution.png,solution,2,9,e,ch2.pdf,11;12,"[{""page"":11,""x0"":0,""y0"":2335,""x1"":2005,""y1"":2485},{""page"":12,""x0"":0,""y0"":193,""x1"":2005,""y1"":510}]","[{""page"":11,""x0"":0,""y0"":2335,""x1"":2005,""y1"":2490},{""page"":12,""x0"":0,""y0"":190,""x1"":2005,""y1"":510}]","{""11"":0.03558,""12"":-0.04414}",2005,467
pb_2-9_(f)_question.png,question,2,9,f,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":600,""y0"":690,""x1"":1160,""y1"":1223}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":600,""y0"":690,""x1"":1160,""y1"":1225}]","{""10"":-0.13162,""11"":0.03558}",2005,600
pb_2-9_(f)_solution.png,solution,2,9,f,ch2.pdf,12,"[{""page"":12,""x0"":0,""y0"":510,""x1"":2005,""y1"":1080}]","[{""page"":12,""x0"":0,""y0"":510,""x1"":2005,""y1"":1080}]","{""12"":-0.04414}",2005,570
pb_2-9_(g)_question.png,question,2,9,g,ch2.pdf,10;11,"[{""page"":10,""x0"":0,""y0"":1843,""x1"":2005,""y1"":1910},{""page"":11,""x0"":1130,""y0"":823,""x1"":1820,""y1"":1225}]","[{""page"":10,""x0"":0,""y0"":1840,""x1"":2005,""y1"":1910},{""page"":11,""x0"":1130,""y0"":690,""x1"":1820,""y1"":1225}]","{""10"":-0.13162,""11"":0.03558}",2005,469
pb_2-9_(g)_solution.png,solution,2,9,g,ch2.pdf,12,"[{""page"":12,""x0"":0,""y0"":1081,""x1"":2005,""y1"":1760}]","[{""page"":12,""x0"":0,""y0"":1080,""x1"":2005,""y1"":1760}]","{""12"":-0.04414}",2005,679
pb_2-10_(a)_question.png,question,2,10,a,ch2.pdf,12,"[{""page"":12,""x0"":0,""y0"":1761,""x1"":2005,""y1"":1830},{""page"":12,""x0"":160,""y0"":1901,""x1"":630,""y1"":2208}]","[{""page"":12,""x0"":0,""y0"":1760,""x1"":2005,""y1"":1830},{""page"":12,""x0"":160,""y0"":1840,""x1"":630,""y1"":2210}]","{""12"":-0.04414}",2005,376
pb_2-10_(a)_solution.png,solution,2,10,a,ch2.pdf,13,"[{""page"":13,""x0"":0,""y0"":205,""x1"":2005,""y1"":398}]","[{""page"":13,""x0"":0,""y0"":205,""x1"":2005,""y1"":415}]","{""13"":-0.09219}",2005,193
pb_2-10_(b)_question.png,question,2,10,b,ch2.pdf,12,"[{""page"":12,""x0"":0,""y0"":1761,""x1"":2005,""y1"":1830},{""page"":12,""x0"":620,""y0"":1907,""x1"":1080,""y1"":2208}]","[{""page"":12,""x0"":0,""y0"":1760,""x1"":2005,""y1"":1830},{""page"":12,""x0"":620,""y0"":1840,""x1"":1080,""y1"":2210}]","{""12"":-0.04414}",2005,370
pb_2-10_(b)_solution.png,solution,2,10,b,ch2.pdf,13,"[{""page"":13,""x0"":0,""y0"":405,""x1"":2005,""y1"":610}]","[{""page"":13,""x0"":0,""y0"":405,""x1"":2005,""y1"":615}]","{""13"":-0.09219}",2005,205
